"scenario","iteration","seconds","exitCode"
"stock-off","1","19.2742047","0"
"native-off","1","8.727338","0"
"stock-on","1","32.6111139","0"
"native-on","1","8.9056613","0"
"stock-off","2","20.0887963","0"
"native-off","2","7.4750256","0"
"stock-on","2","18.3375603","0"
"native-on","2","6.2623878","0"
"stock-off","3","20.538138","0"
"native-off","3","7.5948815","0"
"stock-on","3","16.8024473","0"
"native-on","3","5.9231189","0"
"stock-off","4","20.4656793","0"
"native-off","4","7.882894","0"
"stock-on","4","16.3138434","0"
"native-on","4","5.983871","0"
"stock-off","5","21.2229494","0"
"native-off","5","7.3036043","0"
"stock-on","5","17.2352555","0"
"native-on","5","6.1750536","0"
