"cache","iteration","seconds","exitCode","hits","misses","bypasses","rarMilliseconds"
"False","1","1.8015591","0","0","0","0","988.6745"
"True","1","1.8196854","0","11","0","0","349.5793"
"True","2","1.7274554","0","11","0","0","343.0561"
"False","2","1.8757584","0","0","0","0","735.9929"
"False","3","1.6786939","0","0","0","0","808.2247"
"True","3","1.6128183","0","11","0","0","269.0245"
"True","4","1.7099797","0","11","0","0","308.1966"
"False","4","1.6381153","0","0","0","0","805.3692"
"False","5","1.7357963","0","0","0","0","890.7551"
"True","5","1.7013783","0","11","0","0","296.7983"
