"cache","iteration","seconds","exitCode","hits","misses","bypasses","rarMilliseconds"
"False","1","18.2098311","0","0","0","0","5635.9425"
"True","1","20.4153276","0","202","0","0","6257.6735"
"True","2","19.4655331","0","202","0","0","6277.5529"
"False","2","18.5512105","0","0","0","0","5778.0168"
"False","3","19.6812495","0","0","0","0","6448.6423"
"True","3","20.0820846","0","202","0","0","5974.4229"
"True","4","20.489754","0","202","0","0","5530.0512"
"False","4","19.0986728","0","0","0","0","5426.1392"
"False","5","18.9275814","0","0","0","0","6173.1352"
"True","5","19.071035","0","202","0","0","5365.9973"
