"scenario","iteration","seconds","exitCode"
"stock-m8","1","24.2224588","0"
"stock-m8","2","21.5001865","0"
"stock-m8","3","21.2259246","0"
"stock-m8","4","25.3424626","0"
"stock-m1","1","34.0573477","0"
"stock-m1","2","33.1698166","0"
"stock-m1","3","34.0898798","0"
"stock-graph-m8","1","24.0086866","0"
"stock-graph-m8","2","22.945805","0"
"stock-graph-m8","3","23.9246836","0"
"restore-m8","1","25.9429028","0"
"restore-m8","2","26.8674748","0"
"restore-m8","3","27.7534751","0"
"evaluation-graph-only","1","4.2548877","0"
"evaluation-graph-only","2","4.1575046","0"
"evaluation-graph-only","3","4.456016","0"
"empty-graph-dispatch","1","6.9786166","0"
"empty-graph-dispatch","2","5.7190882","0"
"empty-graph-dispatch","3","5.7758657","0"
"server-opt-in","1","17.5301408","0"
"server-opt-in","2","16.0431839","0"
"server-opt-in","3","18.3853431","0"
"server-off","1","20.2586888","0"
"server-on","1","17.0378505","0"
"server-off","2","20.0455178","0"
"server-on","2","17.5324266","0"
"server-off","3","20.6311156","0"
"server-on","3","16.0722625","0"
"server-off","4","20.9204021","0"
"server-on","4","16.5075207","0"
