"scenario","iteration","seconds","exitCode"
"target-control","1","20.5662602","0"
"target-translations","1","20.8569071","0"
"target-mapper","1","20.8322497","0"
"target-combined","1","19.9422483","0"
"target-control","2","19.6839961","0"
"target-translations","2","19.7705307","0"
"target-mapper","2","21.6993415","0"
"target-combined","2","20.0976162","0"
"target-control","3","20.81576","0"
"target-translations","3","20.8195985","0"
"target-mapper","3","20.5619203","0"
"target-combined","3","20.489206","0"
