"scenario","route","stock","safe","deltaMs"
"01-default-console","project","1.502","1.488","14"
"01-default-console","solution","1.353","1.349","4.1"
"02-trusted-console","project","1.546","1.525","20.8"
"02-trusted-console","solution","1.357","1.37","-12.3"
"03-solution-24","project","2.763","2.84","-76.8"
"03-solution-24","solution","2.834","2.938","-104.1"
"04-multitarget","project","1.433","1.418","14.8"
"04-multitarget","solution","1.328","1.316","11.9"
"05-web","project","1.412","1.393","19.4"
"05-web","solution","1.458","1.483","-24.5"
"06-razor-static-assets","project","1.913","1.885","28"
"06-razor-static-assets","solution","1.855","1.859","-3.8"
"07-wpf","project","1.182","1.186","-4.1"
"07-wpf","solution","1.253","1.249","4.7"
"08-winforms","project","1.184","1.187","-3.8"
"08-winforms","solution","1.247","1.228","18.6"
"09-net472","project","1.05","1.043","6.3"
"09-net472","solution","1.112","1.109","3.3"
"10-orchard-cms","project","20.775","19.701","1074.3"
