"scenario","route","variant","iteration","seconds","exitCode"
"01-default-console","project","stock","1","1.5055817","0"
"01-default-console","project","safe","1","1.485041","0"
"01-default-console","project","safe","2","1.4743249","0"
"01-default-console","project","stock","2","1.487388","0"
"01-default-console","project","stock","3","1.5171338","0"
"01-default-console","project","safe","3","1.4876121","0"
"01-default-console","project","safe","4","1.4946715","0"
"01-default-console","project","stock","4","1.5015879","0"
"01-default-console","project","stock","5","1.4882903","0"
"01-default-console","project","safe","5","1.4913614","0"
"01-default-console","solution","stock","1","1.3660134","0"
"01-default-console","solution","safe","1","1.3701788","0"
"01-default-console","solution","safe","2","1.3701124","0"
"01-default-console","solution","stock","2","1.3554096","0"
"01-default-console","solution","stock","3","1.334437","0"
"01-default-console","solution","safe","3","1.3119507","0"
"01-default-console","solution","safe","4","1.3491519","0"
"01-default-console","solution","stock","4","1.3532825","0"
"01-default-console","solution","stock","5","1.3223574","0"
"01-default-console","solution","safe","5","1.3444858","0"
"02-trusted-console","project","stock","1","1.495368","0"
"02-trusted-console","project","safe","1","1.4856633","0"
"02-trusted-console","project","safe","2","2.6890194","0"
"02-trusted-console","project","stock","2","1.5806165","0"
"02-trusted-console","project","stock","3","1.5538514","0"
"02-trusted-console","project","safe","3","1.5253636","0"
"02-trusted-console","project","safe","4","1.5179519","0"
"02-trusted-console","project","stock","4","1.5204251","0"
"02-trusted-console","project","stock","5","1.5461274","0"
"02-trusted-console","project","safe","5","1.5298319","0"
"02-trusted-console","solution","stock","1","1.3573421","0"
"02-trusted-console","solution","safe","1","1.3695956","0"
"02-trusted-console","solution","safe","2","1.3868015","0"
"02-trusted-console","solution","stock","2","1.3887213","0"
"02-trusted-console","solution","stock","3","1.3781574","0"
"02-trusted-console","solution","safe","3","1.3568869","0"
"02-trusted-console","solution","safe","4","1.3362395","0"
"02-trusted-console","solution","stock","4","1.3549668","0"
"02-trusted-console","solution","stock","5","1.3568575","0"
"02-trusted-console","solution","safe","5","1.370152","0"
"03-solution-24","project","stock","1","2.7545807","0"
"03-solution-24","project","safe","1","2.6524373","0"
"03-solution-24","project","safe","2","2.8535236","0"
"03-solution-24","project","stock","2","2.9119467","0"
"03-solution-24","project","stock","3","2.7394575","0"
"03-solution-24","project","safe","3","2.5979101","0"
"03-solution-24","project","safe","4","2.8399746","0"
"03-solution-24","project","stock","4","2.7631572","0"
"03-solution-24","project","stock","5","2.7809502","0"
"03-solution-24","project","safe","5","2.8462899","0"
"03-solution-24","solution","stock","1","2.5909656","0"
"03-solution-24","solution","safe","1","3.0013647","0"
"03-solution-24","solution","safe","2","3.0122322","0"
"03-solution-24","solution","stock","2","3.0771011","0"
"03-solution-24","solution","stock","3","2.8340748","0"
"03-solution-24","solution","safe","3","2.8140829","0"
"03-solution-24","solution","safe","4","2.7548881","0"
"03-solution-24","solution","stock","4","2.7973364","0"
"03-solution-24","solution","stock","5","2.903955","0"
"03-solution-24","solution","safe","5","2.9381797","0"
"04-multitarget","project","stock","1","1.4356022","0"
"04-multitarget","project","safe","1","1.4557314","0"
"04-multitarget","project","safe","2","1.426731","0"
"04-multitarget","project","stock","2","1.4509864","0"
"04-multitarget","project","stock","3","1.426263","0"
"04-multitarget","project","safe","3","1.4184173","0"
"04-multitarget","project","safe","4","1.4073862","0"
"04-multitarget","project","stock","4","1.4280089","0"
"04-multitarget","project","stock","5","1.4331972","0"
"04-multitarget","project","safe","5","1.409564","0"
"04-multitarget","solution","stock","1","1.2770934","0"
"04-multitarget","solution","safe","1","1.2954725","0"
"04-multitarget","solution","safe","2","1.2939151","0"
"04-multitarget","solution","stock","2","1.3391123","0"
"04-multitarget","solution","stock","3","1.3150969","0"
"04-multitarget","solution","safe","3","1.3219332","0"
"04-multitarget","solution","safe","4","1.3163881","0"
"04-multitarget","solution","stock","4","1.3283043","0"
"04-multitarget","solution","stock","5","1.3292625","0"
"04-multitarget","solution","safe","5","1.344475","0"
"05-web","project","stock","1","1.4081247","0"
"05-web","project","safe","1","1.3928908","0"
"05-web","project","safe","2","1.3912717","0"
"05-web","project","stock","2","1.4196758","0"
"05-web","project","stock","3","1.4122714","0"
"05-web","project","safe","3","1.4352012","0"
"05-web","project","safe","4","1.3917411","0"
"05-web","project","stock","4","1.4169277","0"
"05-web","project","stock","5","1.4019809","0"
"05-web","project","safe","5","1.3934351","0"
"05-web","solution","stock","1","1.426751","0"
"05-web","solution","safe","1","1.4386933","0"
"05-web","solution","safe","2","1.4333643","0"
"05-web","solution","stock","2","1.4583736","0"
"05-web","solution","stock","3","1.4476104","0"
"05-web","solution","safe","3","1.4828331","0"
"05-web","solution","safe","4","1.5086378","0"
"05-web","solution","stock","4","1.5115786","0"
"05-web","solution","stock","5","1.4877124","0"
"05-web","solution","safe","5","1.4963387","0"
"06-razor-static-assets","project","stock","1","1.8771531","0"
"06-razor-static-assets","project","safe","1","1.8946879","0"
"06-razor-static-assets","project","safe","2","1.8571538","0"
"06-razor-static-assets","project","stock","2","1.8942947","0"
