"scenario","route","variant","n","median","min","max"
"01-default-console","project","safe","5","1.4876121","1.4743249","1.4946715"
"01-default-console","project","stock","5","1.5015879","1.487388","1.5171338"
"01-default-console","solution","safe","5","1.3491519","1.3119507","1.3701788"
"01-default-console","solution","stock","5","1.3532825","1.3223574","1.3660134"
"02-trusted-console","project","safe","5","1.5253636","1.4856633","2.6890194"
"02-trusted-console","project","stock","5","1.5461274","1.495368","1.5806165"
"02-trusted-console","solution","safe","5","1.3695956","1.3362395","1.3868015"
"02-trusted-console","solution","stock","5","1.3573421","1.3549668","1.3887213"
"03-solution-24","project","safe","5","2.8399746","2.5979101","2.8535236"
"03-solution-24","project","stock","5","2.7631572","2.7394575","2.9119467"
"03-solution-24","solution","safe","5","2.9381797","2.7548881","3.0122322"
"03-solution-24","solution","stock","5","2.8340748","2.5909656","3.0771011"
"04-multitarget","project","safe","5","1.4184173","1.4073862","1.4557314"
"04-multitarget","project","stock","5","1.4331972","1.426263","1.4509864"
"04-multitarget","solution","safe","5","1.3163881","1.2939151","1.344475"
"04-multitarget","solution","stock","5","1.3283043","1.2770934","1.3391123"
"05-web","project","safe","5","1.3928908","1.3912717","1.4352012"
"05-web","project","stock","5","1.4122714","1.4019809","1.4196758"
"05-web","solution","safe","5","1.4828331","1.4333643","1.5086378"
"05-web","solution","stock","5","1.4583736","1.426751","1.5115786"
"06-razor-static-assets","project","safe","5","1.8853323","1.8520409","2.0135768"
"06-razor-static-assets","project","stock","5","1.9133191","1.8771531","1.944979"
"06-razor-static-assets","solution","safe","5","1.8591764","1.8342272","1.9020336"
"06-razor-static-assets","solution","stock","5","1.8553821","1.8319776","1.9028353"
"07-wpf","project","safe","5","1.1864909","1.1746341","1.1899249"
"07-wpf","project","stock","5","1.1824093","1.1774951","1.1931536"
"07-wpf","solution","safe","5","1.2486525","1.2341517","1.2893371"
"07-wpf","solution","stock","5","1.2533179","1.2389067","1.2815629"
"08-winforms","project","safe","5","1.1872749","1.1584884","1.2800649"
"08-winforms","project","stock","5","1.1835183","1.1629318","1.2578023"
"08-winforms","solution","safe","5","1.2282457","1.2252764","1.2396595"
"08-winforms","solution","stock","5","1.246845","1.2293164","1.2663075"
"09-net472","project","safe","5","1.0434714","1.035088","1.0514934"
"09-net472","project","stock","5","1.04982","1.0403201","1.0584377"
"09-net472","solution","safe","5","1.1085213","1.1018621","1.1943134"
"09-net472","solution","stock","5","1.1118323","1.1009878","1.1237294"
"10-orchard-cms","project","safe","5","19.7010916","19.346921","21.0565287"
"10-orchard-cms","project","stock","5","20.775362","19.9298962","22.5263864"
