"scenario","route","stockTasks","safeTasks","saved","rar","csc","developmentSaved"
"01-default-console","project","264","241","23","3","0","0"
"01-default-console","solution","267","244","23","3","0","0"
"02-trusted-console","project","234","211","23","3","0","0"
"02-trusted-console","solution","237","214","23","3","0","0"
"03-solution-24","project","2136","1924","212","24","0","0"
"03-solution-24","solution","2142","1930","212","24","0","0"
"04-multitarget","project","176","162","14","2","0","0"
"04-multitarget","solution","263","240","23","3","0","0"
"05-web","project","117","112","5","1","0","0"
"05-web","solution","120","115","5","1","0","0"
"06-razor-static-assets","project","271","256","15","2","0","1"
"06-razor-static-assets","solution","274","259","15","2","0","1"
"07-wpf","project","89","84","5","1","0","0"
"07-wpf","solution","92","87","5","1","0","0"
"08-winforms","project","85","80","5","1","0","0"
"08-winforms","solution","88","83","5","1","0","0"
"09-net472","project","66","66","0","1","0","0"
"09-net472","solution","69","69","0","1","0","0"
"10-orchard-cms","project","23697","21843","1854","202","0","49"
